Number	Core	Pan
4	14594	35194
4	12923	34559
4	11605	35700
4	13469	35771
4	14178	35378
4	12674	34822
4	11635	34662
4	11837	35090
4	10742	34386
4	13755	35137
4	12347	34581
4	12939	34346
4	12608	36983
4	12423	36298
4	10594	35802
4	12145	35843
4	12948	34804
4	11183	35203
4	12477	36752
4	10547	36627
4	12137	36720
4	12768	36259
4	11281	35889
4	10426	36038
4	11985	36128
4	12580	35604
4	11188	35249
4	10526	34823
4	10648	35100
4	9615	34553
4	12277	35169
4	10938	34799
4	11451	34401
4	13681	36430
4	11497	36348
4	13292	36380
4	14131	35431
4	12368	35626
4	11363	35606
4	13119	35655
4	13958	34694
4	12253	34868
4	11411	34423
4	11708	34182
4	10468	34220
4	13562	34219
4	11970	34367
4	12657	33503
4	11412	36121
4	13276	36211
4	13931	35803
4	12538	35163
4	11437	35314
4	11605	35708
4	10551	34933
4	13517	35754
4	12175	35144
4	12725	34903
4	11310	34654
4	11512	35026
4	10483	34249
4	13372	35095
4	12062	34482
4	12635	34196
4	11503	33789
4	10426	32888
4	10694	33488
4	12312	33692
4	12301	37016
4	13579	36336
4	14428	34842
4	13798	35856
4	11361	36139
4	13097	36223
4	13879	35794
4	12368	35075
4	11709	37695
4	12162	36904
4	11768	37450
4	9869	37633
4	11239	37703
4	11935	37142
4	10644	36690
4	13407	36202
4	13063	36764
4	10890	36980
4	12462	37041
4	13359	35957
4	11793	36089
4	13743	35582
4	11216	36001
4	12934	36135
4	13712	35705
4	12274	34840
4	10954	36684
4	12605	36803
4	13392	36288
4	12078	35557
4	10768	36145
4	11085	36518
4	10121	35615
4	12788	36596
4	11597	35868
4	12218	35518
4	13093	34908
4	13713	33805
4	12950	34974
4	10860	34635
4	12511	34744
4	13259	34189
4	11658	33797
4	14952	33045
4	14333	34215
4	11947	33886
4	13810	33994
4	14770	32911
4	12860	33093
4	15007	32678
4	12304	32547
4	14301	32727
4	15179	32336
4	13343	31405
4	11870	33877
4	13767	34033
4	14584	33567
4	12983	32847
4	11776	32772
4	12089	33259
4	10946	32348
4	14060	33373
4	12631	32635
4	13238	32328
4	12897	35064
4	12428	35745
4	10504	35256
4	12021	35376
4	12875	34185
4	11231	34551
4	12782	34954
4	10684	34766
4	12296	34940
4	13078	34376
4	11491	33888
4	10367	35562
4	11901	35699
4	12587	35077
4	11259	34640
4	10319	34367
4	10614	34599
4	9606	34015
4	12223	34712
4	10960	34306
4	11505	33777
4	14142	34178
4	11751	34034
4	13585	34168
4	14580	33058
4	12672	33180
4	11437	34785
4	13166	34921
4	14105	33800
4	12429	33927
4	11323	33636
4	11748	33342
4	10538	33338
4	13586	33457
4	12075	33564
4	12785	32525
4	11689	33843
4	13570	34034
4	14398	33542
4	12858	32725
4	11601	32936
4	11882	33441
4	10775	32401
4	13833	33568
4	12427	32756
4	13048	32441
4	11251	33838
4	11600	34232
4	10569	33339
4	13454	34346
4	12179	33632
4	12817	33223
4	11473	33037
4	10454	32018
4	10785	32632
4	12450	32882
4	12507	37356
4	12900	37177
4	12517	37191
4	10527	37334
4	11949	37363
4	12643	36851
4	11090	36608
4	14234	36466
4	13902	36469
4	11601	36600
4	13248	36675
4	14168	35646
